Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Annual Revenue Share,Cumulative Share,Current Inventory Quantity,Reorder Yes or NO,Stock Status,ABC Classification,CV,XYZ Classification,CV Rank,ABC Rank,Safety Stock,Reorder Point,Average Demand,Store
skincare,SKU13,16.16039332,5,249,4052.738416,Male,80,07-Jan-00,48,9,Carrier A,9.537283061,Supplier 5,Bangalore,22-Jan-00,173,09-Jan-00,97.82905011,Pending,1.63107423,Road,Route B,547.2410052,0.007016455,0.868131401,4,Yes,Below Reorder point,B [Medium Value],1.213884968,Z [Uncertain Demand],67,68,45.92733777,103.1973378,2.49,1
skincare,SKU14,99.17132864,26,562,8653.570926,Non-binary,54,28-Jan-00,78,5,Carrier B,2.039770189,Supplier 1,Kolkata,24-Jan-00,558,13-Jan-00,5.79143663,Pending,0.100682852,Air,Route B,929.23529,0.014981819,0.288594261,50,Yes,Below Reorder point,A [High Value],0.537824479,Y [Variable Demand],40,18,22.11803169,162.6180317,5.62,1
skincare,SKU15,36.98924493,94,469,5442.086785,Non-binary,9,07-Jan-00,69,7,Carrier B,2.422039723,Supplier 1,Bangalore,13-Jan-00,580,06-Jan-00,97.12128175,Pass,2.264405761,Sea,Route B,127.8618,0.009421817,0.777732633,120,No,In Stock,B [Medium Value],0.644471977,Y [Variable Demand],46,57,14.84218962,80.50218962,4.69,1
skincare,SKU16,7.54717211,74,280,6453.797968,Female,2,04-Jan-00,78,1,Carrier B,4.191324586,Supplier 1,Bangalore,02-Jan-00,399,20-Jan-00,77.1063425,Pass,1.012563089,Air,Route A,865.5257798,0.01117338,0.676839291,121,No,In Stock,A [High Value],1.079490561,Z [Uncertain Demand],63,47,5.327285918,13.72728592,2.8,1
cosmetics,SKU17,81.46253437,82,126,2629.396435,Female,45,16-Jan-00,85,9,Carrier C,3.585418958,Supplier 1,Chennai,06-Jan-00,453,15-Jan-00,47.67968037,Fail,0.102020755,Air,Route C,670.9343908,0.004552241,0.930699142,372,No,In Stock,C [Less Value],2.398867913,Z [Uncertain Demand],86,80,27.62296402,36.44296402,1.26,1
haircare,SKU18,36.44362777,23,620,9364.673505,Unknown,10,09-Jan-00,46,8,Carrier C,4.339224714,Supplier 2,Kolkata,17-Jan-00,374,16-Jan-00,27.10798085,Pending,2.231939111,Sea,Route A,593.4802587,0.016212942,0.165640634,-236,Yes,Below Reorder point,A [High Value],0.487511866,Y [Variable Demand],34,10,14.43522636,126.0352264,6.2,1
skincare,SKU19,51.12387009,100,187,2553.495585,Unknown,48,10-Jan-00,94,3,Carrier A,4.742635883,Supplier 4,Chennai,19-Jan-00,694,15-Jan-00,82.37332059,Fail,3.646450865,Road,Route C,477.3076311,0.004420835,0.939546476,555,No,In Stock,C [Less Value],1.616349503,Z [Uncertain Demand],75,82,53.17789865,90.57789865,1.87,1
skincare,SKU20,96.34107244,22,320,8128.027697,Unknown,27,11-Jan-00,68,6,Carrier A,8.878334651,Supplier 1,Chennai,28-Jan-00,309,05-Jan-00,65.68625961,Pass,4.231416574,Air,Route B,493.8712153,0.014071953,0.433527893,16,Yes,Below Reorder point,A [High Value],0.944554241,Z [Uncertain Demand],61,28,45.05996006,137.8599601,3.2,1
cosmetics,SKU21,84.89386898,60,601,7087.052696,Unknown,69,24-Jan-00,7,6,Carrier B,6.037883769,Supplier 5,Chennai,18-Jan-00,791,03-Jan-00,61.73572895,Pending,0.018607568,Air,Route C,523.3609147,0.012269726,0.630275267,259,No,In Stock,A [High Value],0.502924055,Y [Variable Demand],38,43,15.71889134,129.9088913,6.01,1
haircare,SKU22,27.67978089,55,884,2390.807867,Unknown,71,31 December 1899,63,10,Carrier A,9.567648921,Supplier 4,Kolkata,21-Jan-00,780,27-Jan-00,50.12083961,Fail,2.591275473,Rail,Route C,205.5719958,0.004139176,0.956382663,-33,Yes,Below Reorder point,C [Less Value],0.341920087,X [Uniform Demand],15,86,12.37408795,206.854088,8.84,1
cosmetics,SKU23,4.324341186,30,391,8858.367571,Unknown,84,04-Jan-00,29,7,Carrier A,2.924857601,Supplier 5,Kolkata,10-Jan-00,568,28-Jan-00,98.60995724,Pending,1.342291563,Rail,Route A,196.3294461,0.015336381,0.243580473,261,No,In Stock,A [High Value],0.773036719,Z [Uncertain Demand],51,15,13.98809943,56.99809943,3.91,1
haircare,SKU24,4.156308359,32,209,9049.077861,Male,4,25-Jan-00,2,8,Carrier C,9.741291689,Supplier 2,Bangalore,27-Jan-00,447,02-Jan-00,40.3823597,Pending,3.691310293,Air,Route A,758.7247726,0.015666555,0.212897814,242,No,In Stock,A [High Value],1.44620745,Z [Uncertain Demand],73,13,66.61231515,125.1323152,2.09,1
haircare,SKU25,39.62934399,73,142,2174.777054,Male,82,10-Jan-00,52,3,Carrier C,2.231073681,Supplier 4,Kolkata,18-Jan-00,934,22-Jan-00,78.28038312,Pending,3.797231217,Road,Route B,458.5359457,0.003765164,0.964183399,874,No,In Stock,C [Less Value],2.128572937,Z [Uncertain Demand],83,88,66.52854715,93.50854715,1.42,1
haircare,SKU26,97.44694662,9,353,3716.493326,Male,59,15-Jan-00,48,4,Carrier B,6.507548621,Supplier 2,Bangalore,25-Jan-00,171,03-Jan-00,15.97222976,Pass,2.119319737,Rail,Route A,617.8669165,0.006434318,0.881317302,-123,Yes,Below Reorder point,B [Medium Value],0.856253136,Z [Uncertain Demand],55,70,36.62194663,128.4019466,3.53,1
cosmetics,SKU27,92.55736081,42,352,2686.457224,Unknown,47,08-Jan-00,62,8,Carrier C,7.406750953,Supplier 5,Mumbai,24-Jan-00,291,03-Jan-00,10.52824507,Fail,2.864667838,Sea,Route B,762.4591822,0.00465103,0.92158821,-14,Yes,Below Reorder point,C [Less Value],0.858685673,Z [Uncertain Demand],56,78,35.31344832,123.3134483,3.52,1
cosmetics,SKU28,2.397274706,12,394,6117.324615,Female,48,14-Jan-00,24,4,Carrier B,9.898140508,Supplier 1,Mumbai,12-Jan-00,171,06-Jan-00,59.42938181,Fail,0.815757079,Air,Route A,123.4370275,0.010590848,0.687430138,-175,Yes,Below Reorder point,A [High Value],0.767150652,Y [Variable Demand],50,48,16.4055167,67.6255167,3.94,1
cosmetics,SKU29,63.44755919,3,253,8318.903195,Female,45,04-Jan-00,67,7,Carrier B,8.100973145,Supplier 1,Kolkata,15-Jan-00,329,06-Jan-00,39.29287559,Pass,3.878098937,Road,Route B,764.9353759,0.014402413,0.391040886,121,No,In Stock,A [High Value],1.194693111,Z [Uncertain Demand],66,25,31.44432268,71.92432268,2.53,1
haircare,SKU30,8.022859211,10,327,2766.342367,Male,60,25-Jan-00,35,7,Carrier B,8.954528315,Supplier 4,Kolkata,26-Jan-00,806,29-Jan-00,51.6348934,Pending,0.965394705,Road,Route C,880.0809882,0.004789334,0.912286067,539,No,In Stock,C [Less Value],0.924334425,Z [Uncertain Demand],59,76,41.0543135,129.3443135,3.27,1
skincare,SKU31,50.84739305,28,168,9655.135103,Male,6,16-Jan-00,44,4,Carrier B,2.679660965,Supplier 3,Chennai,23-Jan-00,461,07-Jan-00,60.25114566,Pending,2.989000007,Rail,Route C,609.3792066,0.016715815,0.050577692,299,No,In Stock,A [High Value],1.799150935,Z [Uncertain Demand],77,3,71.03047891,111.3504789,1.68,1
skincare,SKU32,79.20993602,43,781,9571.550487,Unknown,89,12-Jan-00,64,4,Carrier C,6.599104901,Supplier 3,Kolkata,29-Jan-00,737,06-Jan-00,29.69246715,Pass,1.946036119,Road,Route A,761.1739095,0.016571106,0.100338242,45,Yes,Below Reorder point,A [High Value],0.387013261,Y [Variable Demand],21,6,19.09910444,253.3991044,7.81,1
cosmetics,SKU33,64.795435,63,616,5149.99835,Non-binary,4,16-Jan-00,95,9,Carrier C,4.858270503,Supplier 5,Chennai,31 December 1899,251,22-Jan-00,23.85342751,Fail,3.541046012,Sea,Route A,371.2552955,0.008916128,0.804994059,-361,Yes,Below Reorder point,B [Medium Value],0.490677528,Y [Variable Demand],36,60,0.807164533,6.967164533,6.16,1
skincare,SKU34,37.46759233,96,602,9061.710896,Unknown,1,25-Jan-00,21,7,Carrier A,1.019487571,Supplier 1,Chennai,03-Jan-00,452,09-Jan-00,10.75427282,Pass,0.646604559,Road,Route B,510.3580004,0.015688427,0.197231258,-149,Yes,Below Reorder point,A [High Value],0.502088633,Y [Variable Demand],37,12,3.303743205,27.38374321,6.02,1
cosmetics,SKU35,84.95778682,11,449,6541.329345,Female,42,26-Jan-00,85,8,Carrier C,5.28818999,Supplier 1,Delhi,02-Jan-00,367,01-Jan-00,58.00478704,Pass,0.541154098,Sea,Route C,553.4204712,0.011324922,0.665665911,-40,Yes,Below Reorder point,A [High Value],0.673178969,Y [Variable Demand],48,46,3.322138212,16.79213821,4.49,1
skincare,SKU36,9.813002579,34,963,7573.402458,Female,18,22-Jan-00,28,3,Carrier B,2.107951267,Supplier 2,Delhi,25-Jan-00,671,18-Jan-00,45.53136424,Fail,3.805533379,Air,Route C,403.8089742,0.013111737,0.541822903,-274,Yes,Below Reorder point,A [High Value],0.313870568,X [Uniform Demand],4,36,13.4242442,263.8042442,9.63,1
skincare,SKU37,23.39984475,5,963,2438.33993,Female,25,07-Jan-00,21,9,Carrier A,1.532655274,Supplier 3,Kolkata,23-Jan-00,867,14-Jan-00,34.34327747,Pending,2.610288085,Sea,Route A,183.932968,0.004221467,0.948068047,-71,Yes,Below Reorder point,C [Less Value],0.313870568,X [Uniform Demand],4,84,12.39161003,243.51161,9.63,1
cosmetics,SKU38,52.07593068,75,705,9692.31804,Non-binary,69,31 December 1899,88,5,Carrier B,9.235931437,Supplier 5,Mumbai,09-Jan-00,841,11-Jan-00,5.930693646,Pending,0.613326899,Air,Route B,339.6728699,0.016780189,0.033861877,205,No,In Stock,A [High Value],0.42873384,Y [Variable Demand],25,2,7.052671665,77.55267166,7.05,1
skincare,SKU39,19.12747727,26,176,1912.465663,Female,78,28-Jan-00,34,3,Carrier A,5.562503779,Supplier 2,Kolkata,29-Jan-00,791,05-Jan-00,9.005807429,Fail,1.451972204,Air,Route B,653.6729946,0.003311028,0.981526125,693,No,In Stock,C [Less Value],1.717371347,Z [Uncertain Demand],76,93,84.75227597,137.552276,1.76,1
skincare,SKU40,80.54142417,97,933,5724.95935,Female,90,19-Jan-00,39,8,Carrier C,7.22959514,Supplier 1,Kolkata,17-Jan-00,793,00-Jan-00,88.1794071,Pending,4.213269431,Road,Route A,529.808724,0.009911551,0.748866465,-50,Yes,Below Reorder point,B [Medium Value],0.323962869,X [Uniform Demand],8,54,9.59254056,177.5325406,9.33,1
skincare,SKU41,99.11329162,35,556,5521.205259,Female,64,18-Jan-00,38,8,Carrier B,5.773263744,Supplier 4,Chennai,17-Jan-00,892,06-Jan-00,95.33206455,Fail,0.045302262,Sea,Route A,275.5243711,0.009558794,0.768310816,400,No,In Stock,B [Medium Value],0.54362834,Y [Variable Demand],41,56,16.09683515,116.1768351,5.56,1
skincare,SKU42,46.52916761,98,155,1839.609426,Female,22,26-Jan-00,57,4,Carrier C,7.526248327,Supplier 5,Bangalore,25-Jan-00,179,06-Jan-00,96.42282064,Fail,4.939255289,Road,Route A,635.6571205,0.003184893,0.987981548,46,Yes,Below Reorder point,C [Less Value],1.950047465,Z [Uncertain Demand],79,95,83.40353008,123.7035301,1.55,1
haircare,SKU43,11.74327178,6,598,5737.425599,Unknown,36,28-Jan-00,85,9,Carrier B,3.694021268,Supplier 5,Mumbai,31 December 1899,206,22-Jan-00,26.27736596,Pending,0.372304768,Air,Route A,716.0441198,0.009933133,0.738954915,-356,Yes,Below Reorder point,B [Medium Value],0.505447085,Y [Variable Demand],39,53,0.831460455,6.811460455,5.98,1
cosmetics,SKU44,51.35579091,34,919,7152.286049,Female,13,18-Jan-00,72,6,Carrier C,7.577449657,Supplier 2,Delhi,06-Jan-00,834,17-Jan-00,22.55410662,Fail,2.96262632,Rail,Route A,610.4532696,0.012382663,0.605731623,-72,Yes,Below Reorder point,A [High Value],0.328898103,X [Uniform Demand],9,41,3.787261661,68.11726166,9.19,1
haircare,SKU45,33.78413803,1,24,5267.956808,Male,93,06-Jan-00,52,6,Carrier B,5.215155009,Supplier 2,Chennai,24-Jan-00,794,24-Jan-00,66.31254444,Pass,3.219604612,Rail,Route A,495.305697,0.009120348,0.796077931,863,No,In Stock,B [Medium Value],12.59405654,Z [Uncertain Demand],99,59,517.9305754,523.9305754,0.24,1
haircare,SKU46,27.0822072,75,859,2556.767361,Non-binary,92,28-Jan-00,6,8,Carrier B,4.070955837,Supplier 3,Chennai,17-Jan-00,870,22-Jan-00,77.32235321,Pending,3.648610593,Road,Route B,380.4359371,0.004426499,0.935125641,103,Yes,Below Reorder point,C [Less Value],0.351871196,X [Uniform Demand],18,81,10.4189061,165.0389061,8.59,1
skincare,SKU47,95.71213588,93,910,7089.47425,Male,4,14-Jan-00,51,9,Carrier B,8.978750756,Supplier 1,Kolkata,09-Jan-00,964,19-Jan-00,19.71299291,Pending,0.380573587,Rail,Route A,581.6023551,0.012273918,0.618005541,58,Yes,Below Reorder point,A [High Value],0.332150942,X [Uniform Demand],12,42,5.463882993,96.46388299,9.1,1
haircare,SKU48,76.03554443,28,29,7397.071005,Non-binary,30,15-Jan-00,9,3,Carrier C,7.095833157,Supplier 2,Mumbai,08-Jan-00,109,17-Jan-00,23.12636358,Fail,1.698112541,Rail,Route B,768.651914,0.012806457,0.58056104,110,Yes,Below Reorder point,A [High Value],10.42266749,Z [Uncertain Demand],97,39,154.3075921,156.9175921,0.29,1
cosmetics,SKU49,78.89791321,19,99,8001.613207,Unknown,97,23-Jan-00,9,6,Carrier C,2.505621033,Supplier 5,Delhi,27-Jan-00,177,27-Jan-00,14.14781544,Pass,2.825813985,Rail,Route A,336.8901685,0.013853093,0.447380985,175,No,In Stock,A [High Value],3.053104617,Z [Uncertain Demand],90,29,140.6259987,168.3459987,0.99,1
cosmetics,SKU50,14.20348426,91,633,5910.88539,Female,31,22-Jan-00,82,10,Carrier A,6.247860915,Supplier 2,Delhi,19-Jan-00,306,20-Jan-00,45.17875792,Fail,4.754800805,Rail,Route B,496.2486503,0.010233442,0.729021782,-296,Yes,Below Reorder point,B [Medium Value],0.477499774,Y [Variable Demand],31,52,15.70974257,142.3097426,6.33,1
haircare,SKU51,26.70076097,61,154,9866.465458,Male,100,03-Jan-00,52,1,Carrier A,4.783000558,Supplier 5,Bangalore,17-Jan-00,673,27-Jan-00,14.19032834,Pending,1.772951172,Road,Route A,694.9823176,0.017081688,0.017081688,619,No,In Stock,A [High Value],1.962710111,Z [Uncertain Demand],80,1,58.11584638,85.83584638,1.54,1
skincare,SKU52,98.03182966,1,820,9435.762609,Male,64,10-Jan-00,11,1,Carrier B,8.63105218,Supplier 1,Mumbai,09-Jan-00,727,26-Jan-00,9.166849149,Pending,2.122471619,Air,Route C,602.8984988,0.016336018,0.149427692,-29,Yes,Below Reorder point,A [High Value],0.368606533,X [Uniform Demand],19,9,6.063577468,88.06357747,8.2,1
skincare,SKU53,30.34147071,93,242,8232.334829,Male,96,24-Jan-00,54,3,Carrier B,1.013486566,Supplier 1,Delhi,31 December 1899,631,16-Jan-00,83.34405899,Pending,1.410347576,Air,Route B,750.7378407,0.014252538,0.405293425,485,No,In Stock,A [High Value],1.248997343,Z [Uncertain Demand],69,26,2.05460063,4.47460063,2.42,1
haircare,SKU54,31.14624316,11,622,6088.02148,Non-binary,33,21-Jan-00,61,3,Carrier B,4.305103471,Supplier 1,Kolkata,25-Jan-00,497,28-Jan-00,30.18602338,Pass,2.478771976,Road,Route B,814.0699966,0.010540115,0.708531011,-92,Yes,Below Reorder point,B [Medium Value],0.485944304,Y [Variable Demand],33,50,20.78383788,182.5038379,6.22,1
haircare,SKU55,79.85505834,16,701,2925.67517,Male,97,10-Jan-00,11,5,Carrier A,5.014364955,Supplier 2,Delhi,26-Jan-00,918,04-Jan-00,30.32354526,Fail,4.548919659,Sea,Route B,323.012928,0.005065185,0.897624776,314,No,In Stock,B [Medium Value],0.431180253,Y [Variable Demand],27,73,19.15087092,208.4208709,7.01,1
skincare,SKU56,20.98638604,90,93,4767.020484,Non-binary,25,22-Jan-00,83,5,Carrier C,1.774429714,Supplier 1,Mumbai,23-Jan-00,826,27-Jan-00,12.83628457,Pass,1.173755495,Air,Route B,832.2108087,0.008253083,0.830741789,758,No,In Stock,B [Medium Value],3.250079108,Z [Uncertain Demand],91,63,128.3131232,150.6331232,0.93,1
haircare,SKU57,49.26320535,65,227,1605.8669,Unknown,5,17-Jan-00,51,1,Carrier B,9.160558535,Supplier 2,Delhi,20-Jan-00,588,24-Jan-00,67.77962299,Pending,2.51117483,Rail,Route A,482.1912386,0.002780217,0.99379564,366,No,In Stock,C [Less Value],1.331530207,Z [Uncertain Demand],71,97,45.99771101,93.66771101,2.27,1
skincare,SKU58,59.84156138,81,896,2021.14981,Non-binary,10,04-Jan-00,44,7,Carrier A,4.938438565,Supplier 3,Delhi,17-Jan-00,396,06-Jan-00,65.04741509,Fail,1.73037472,Road,Route B,110.3643352,0.003499191,0.974864698,-490,Yes,Below Reorder point,C [Less Value],0.3373408,X [Uniform Demand],14,91,9.988661097,171.2686611,8.96,1
cosmetics,SKU59,63.82839835,30,484,1061.618523,Non-binary,100,15-Jan-00,26,7,Carrier B,7.293722597,Supplier 1,Kolkata,10-Jan-00,176,03-Jan-00,1.900762244,Fail,0.447194015,Air,Route A,312.5742736,0.001837967,1,-208,Yes,Below Reorder point,C [Less Value],0.624498672,Y [Variable Demand],44,100,11.30030346,64.54030346,4.84,1
skincare,SKU60,17.02802792,16,380,8864.08435,Female,41,26-Jan-00,72,8,Carrier C,4.381368158,Supplier 4,Mumbai,28-Jan-00,929,23-Jan-00,87.21305782,Fail,2.853090617,Rail,Route A,430.169097,0.015346278,0.228244092,590,No,In Stock,A [High Value],0.795414098,Z [Uncertain Demand],52,14,37.94522952,148.1452295,3.8,1
haircare,SKU61,52.0287499,23,117,6885.589351,Unknown,32,22-Jan-00,36,7,Carrier C,9.030340423,Supplier 4,Kolkata,13-Jan-00,480,11-Jan-00,78.70239397,Fail,4.367470538,Air,Route A,164.3665282,0.011920935,0.654340989,395,No,In Stock,A [High Value],2.583396214,Z [Uncertain Demand],87,45,59.49561481,75.87561481,1.17,1
cosmetics,SKU62,72.79635396,89,270,3899.746834,Unknown,86,01-Jan-00,40,7,Carrier C,7.291701389,Supplier 2,Mumbai,12-Jan-00,751,13-Jan-00,21.04864273,Pass,1.874001404,Sea,Route C,320.8465158,0.006751583,0.874882983,567,No,In Stock,B [Medium Value],1.119471693,Z [Uncertain Demand],65,69,23.93990215,59.03990215,2.7,1
skincare,SKU63,13.01737679,55,246,4256.949141,Non-binary,54,18-Jan-00,10,4,Carrier A,2.457933528,Supplier 3,Bangalore,17-Jan-00,736,09-Jan-00,20.07500398,Pending,3.63284329,Sea,Route A,687.2861779,0.007370003,0.861114945,544,No,In Stock,B [Medium Value],1.228688443,Z [Uncertain Demand],68,67,36.38146481,80.66146481,2.46,1
skincare,SKU64,89.63409561,11,134,8458.730878,Female,73,26-Jan-00,75,6,Carrier C,4.585353468,Supplier 1,Delhi,16-Jan-00,328,05-Jan-00,8.693042426,Fail,0.159486315,Air,Route C,771.2250847,0.014644495,0.347687362,267,No,In Stock,A [High Value],2.255651918,Z [Uncertain Demand],84,22,63.0793059,85.8593059,1.34,1
skincare,SKU65,33.69771721,72,457,8354.579686,Male,57,23-Jan-00,54,8,Carrier C,6.580541348,Supplier 5,Kolkata,15-Jan-00,358,20-Jan-00,1.597222743,Fail,4.911095955,Rail,Route C,555.8591037,0.014464179,0.376638473,-42,Yes,Below Reorder point,A [High Value],0.661394654,Y [Variable Demand],47,24,17.4079073,90.5279073,4.57,1
skincare,SKU66,26.03486977,52,704,8367.721618,Female,13,16-Jan-00,19,8,Carrier A,2.216142729,Supplier 5,Kolkata,23-Jan-00,867,27-Jan-00,42.08443674,Fail,3.448063288,Road,Route A,393.8433486,0.014486932,0.362174294,176,Yes,Below Reorder point,A [High Value],0.429342837,Y [Variable Demand],26,23,16.95045519,185.9104552,7.04,1
skincare,SKU67,87.75543235,16,513,9473.798033,Unknown,12,08-Jan-00,71,9,Carrier C,9.147811545,Supplier 1,Mumbai,09-Jan-00,198,10-Jan-00,7.057876147,Pass,0.131955444,Sea,Route C,169.2718014,0.016401868,0.11674011,-303,Yes,Below Reorder point,A [High Value],0.589195628,Y [Variable Demand],42,7,9.692268077,60.99226808,5.13,1
haircare,SKU68,37.93181238,29,163,3550.218433,Non-binary,0,07-Jan-00,58,8,Carrier B,1.194251865,Supplier 2,Bangalore,01-Jan-00,375,17-Jan-00,97.11358156,Fail,1.983467872,Rail,Route A,299.7063031,0.006146449,0.887463751,212,No,In Stock,B [Medium Value],1.854339614,Z [Uncertain Demand],78,71,6.10077733,9.36077733,1.63,1
skincare,SKU69,54.86552852,62,511,1752.381087,Non-binary,95,31 December 1899,27,3,Carrier B,9.70528679,Supplier 4,Kolkata,08-Jan-00,862,06-Jan-00,77.62776581,Pending,1.362387989,Air,Route A,207.6632062,0.003033875,0.991015423,446,No,In Stock,C [Less Value],0.591501677,Y [Variable Demand],43,96,8.757182331,54.74718233,5.11,1
haircare,SKU70,47.91454182,90,32,7014.887987,Female,10,11-Jan-00,22,4,Carrier B,6.315717755,Supplier 1,Bangalore,21-Jan-00,775,15-Jan-00,11.44078182,Pass,1.830575599,Road,Route C,183.2728987,0.012144788,0.642420055,753,No,In Stock,A [High Value],9.445542408,Z [Uncertain Demand],96,44,341.8341798,348.8741798,0.32,1
cosmetics,SKU71,6.381533163,14,637,8180.337085,Female,76,01-Jan-00,26,6,Carrier A,9.228190317,Supplier 2,Bangalore,01-Jan-00,258,09-Jan-00,30.66167748,Pending,2.078750608,Road,Route A,405.1670679,0.014162515,0.41945594,-303,Yes,Below Reorder point,A [High Value],0.474501345,Y [Variable Demand],30,27,1.561109427,14.30110943,6.37,1
